"","Skill","Count","Percent"
"1","Hadoop",58,0.28
"2","Python",152,0.73
"3","SQL",108,0.52
"4","NoSQL",15,0.07
"5","R",120,0.57
"6","Spark",57,0.27
"7","SAS",43,0.21
"8","Excel",16,0.08
"9","Hive",40,0.19
"10","C",59,0.28
"11","Java",77,0.37
"12","Tableau",38,0.18
"13","BA",83,0.4
"14","MA",104,0.5
"15","PHD",80,0.38
